keyword,search_volume,search_volume_category,competition,cpc,commercial_intent,relevance_score,difficulty_score,difficulty_category,match_type,intent_type,search_intent,keyword_theme,source,preliminary_match_type,competitor_type,location_type,longtail_type,intent_theme_group,estimated_clicks,estimated_cost,estimated_conversions,estimated_roas,priority_score,recommended_bid
what are the top-rated restaurants on Zomato?,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
how to find restaurants open now on Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato login,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato app download,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato website,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato customer service,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato careers,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato investor relations,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato blog,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato vs Swiggy,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato restaurant deals,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
top 10 restaurants in Mumbai Zomato,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato reviews Bangalore,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
compare food delivery apps India,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
best restaurants for delivery Zomato,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
book a table Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato online ordering,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
place order Zomato,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato online payment,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_expansion,unknown,,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
zomato vs foodpanda,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_brand_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato vs dineout,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_brand_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato vs magicpin,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_brand_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato alternatives,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_brand_keywords,,,unknown,100,200.0,2.0,1.0,0.307,2.24
best zomato competitor,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_brand_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
swiggy food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
foodpanda online ordering,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
dineout restaurant reservations,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
magicpin deals,5000,medium,0.6,2.0,0.15,0.35500000000000004,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,100,200.0,2.0,1.0,0.356,2.34
swiggy restaurant discovery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
foodpanda discounts,5000,medium,0.6,2.0,0.15,0.35500000000000004,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,100,200.0,2.0,1.0,0.356,2.34
online food delivery services India,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
restaurant reservation apps India,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,competitor_service_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
alternative to zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,alternative_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
restaurant finder app,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,alternative_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best dining apps,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,alternative_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
local food delivery,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,alternative_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
zomato vs competitors,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,comparison_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
food delivery app comparison India,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,comparison_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
better than swiggy,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
faster than foodpanda,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
cheaper than dineout,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
more restaurants than swiggy,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best restaurant discovery app,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
superior food delivery service,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_competitor_based,unknown,better_than_keywords,,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato food delivery Mumbai,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,location_specific_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato dining Bangalore,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,location_specific_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato in Kolkata,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,location_specific_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato Pune,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_location_based,unknown,,location_specific_keywords,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato Goa,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_location_based,unknown,,location_specific_keywords,,unknown,100,200.0,2.0,1.0,0.307,2.24
dining options near me,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,near_me_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
discovery service near me,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,near_me_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
food delivery close to me,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,near_me_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
nearby restaurants Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,near_me_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best local restaurants Zomato,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
nearby dining Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
local food discovery service,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
Zomato your area,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
in my area food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
local food deals Zomato,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
best restaurants in your area,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,local_service_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato Delhi food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,city_based_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Hyderabad Zomato best restaurants,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,city_based_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Chennai Zomato food,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,city_based_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato restaurants in Gurgaon,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,city_based_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato Noida,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_location_based,unknown,,city_based_keywords,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato Maharashtra,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,100,200.0,2.0,1.0,0.307,2.24
Zomato Tamil Nadu,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
food delivery in Gujarat Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato restaurants in Karnataka,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato Andhra Pradesh,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato West Bengal,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
best food in Uttar Pradesh Zomato,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato Kerala,5000,medium,0.6,2.0,0.0,0.31000000000000005,0,unknown,,,unknown,unknown,llm_location_based,unknown,,regional_keywords,,unknown,100,200.0,2.0,1.0,0.307,2.24
What is the best food delivery service in India?,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,question_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
When is the best time to order food on Zomato?,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,question_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
Which restaurants on Zomato offer vegetarian options?,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,question_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
How does Zomato's food delivery service compare to Swiggy?,1000,high,0.3,1.4,0.3,0.3999999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,question_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.345,1.62
Solving late-night hunger pangs with Zomato food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Finding healthy food options for weight loss with Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Eliminating the hassle of cooking with Zomato's food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Discovering hidden culinary gems in India through Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Avoiding long restaurant wait times with Zomato's online ordering,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Finding the perfect restaurant for a special occasion with Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Comparing restaurant prices and menus easily with Zomato,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,problem_solution_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato's restaurant discovery service in Hyderabad,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,specific_service_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato's contactless food delivery option,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,specific_service_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato's in-app restaurant reservations,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,specific_service_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato Gold membership benefits and discounts,1000,low,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,specific_service_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato Pro subscription features and advantages,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,specific_service_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Save time and effort with Zomato's fast food delivery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Enjoy a wider variety of cuisines with Zomato's vast selection,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Experience delicious food from your favorite restaurants with Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Get the best deals and discounts on food with Zomato,1000,high,0.3,1.4,0.44999999999999996,0.44499999999999995,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.394,1.68
Discover new and exciting restaurants with Zomato's recommendations,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Improve your dining experience with Zomato's user-friendly app,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Enjoy convenient and reliable food delivery with Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Enhance your social dining experience with Zomato's restaurant discovery,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,benefit_focused_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Best fine dining restaurants on Zomato in Mumbai,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Top-rated street food options on Zomato in Delhi,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato's selection of organic and healthy food options,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato's delivery service for specific dietary restrictions,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Finding vegan and vegetarian restaurants on Zomato,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato's exclusive partnerships with top chefs in India,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
Zomato's curated restaurant guides for various occasions,1000,low,0.3,1.4,0.0,0.30999999999999994,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.247,1.48
Zomato's focus on supporting local restaurants in India,1000,high,0.3,1.4,0.15,0.3549999999999999,0,unknown,,,unknown,unknown,llm_longtail,unknown,,,niche_keywords,unknown,20,28.0,0.4,1.4285714285714286,0.296,1.55
